location_name,colony_int_name,colony_nat_name,lat,lon
Ærvikurbjarg,Langanes and Skjalfandi,Langanes and Skjálfandi,70.92056,-8.71778
Agneskjær,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Alkefjellet,Alkefjellet,Alkefjellet,60.66761,4.74869
Anda,Anda,Anda,62.40000,5.62000
Båly,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Bjørndalen,Isfjorden,Isfjorden,74.36450,19.14751
Bjørnøya,Bear Island,Bjørnøya,69.06500,15.17000
Cape Flora,Franz Josef Land,Zemlya Frantsa-Iosifa,64.74000,10.77000
Cape Krutik,Cape Krutik,Mys Krutik,78.94400,12.43900
Diabas,Isfjorden,Isfjorden,74.36450,19.14751
Dolgaya Bay,Solovetsky archipelago,Solovetskiye Ostrova,70.35833,21.39833
Eastern Bolshie Oranskye,Oranskie Islands,Oranskie Ostrova,78.90000,12.21667
Ellefsnyken,Rost,Røst,74.23110,19.10320
Evjebukta,Bear Island,Bjørnøya,69.06500,15.17000
Eyjafjordur,Eyjafjordur,Eyjafjörður,67.44700,11.91400
Eynhallow,Eynhallow,Eynhallow,65.20200,10.99500
Feiringfjellet,Kongsfjorden,Kongsfjorden,69.63505,18.84826
Fontur,Langanes and Skjalfandi,Langanes and Skjálfandi,70.92056,-8.71778
Gardahraun,Reykjanes,Reykjanes,78.21500,15.27000
Gassadalur,Faroe Islands,Føroyar,66.58500,12.22900
Glyvursnes,Faroe Islands,Føroyar,66.58500,12.22900
Gorodetskiy Kape,Cape Gorodetskiy,Gorodetskye ptich`i bazary,79.00500,12.41100
Grimsey,Grimsey,Grímsey,67.50500,12.07900
Grindavik,Reykjanes,Reykjanes,78.21500,15.27000
Grindøya,Grindoya,Grindøya,74.34257,19.10117
Grumant,Isfjorden,Isfjorden,74.36450,19.14751
Hafnarholmi,Hafnarholmi,Hafnarhólmi,65.54,-13.78
Hårkniba,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Havnardalur,Faroe Islands,Føroyar,66.58500,12.22900
Hernyken,Rost,Røst,74.23110,19.10320
Hillesund,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Hjallsey,Breidafjordur,Breiðafjörður,78.36400,16.14100
Hornøya,Hornoya,Hornøya,74.35122,19.10070
Horsvær,Horsvaer,Horsvær,74.36585,19.14922
Husholmen,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Isle of May,Isle of May,Isle of May,65.32000,11.63000
Jan Mayen,Jan Mayen,Jan Mayen,74.34665,19.09100
Jarsteinen,Jarsteinen,Jarsteinen,70.38333,31.15000
Kalsvikholmen,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Kapp Kolthoff,Bear Island,Bjørnøya,69.06500,15.17000
Kårøy,Rost,Røst,74.23110,19.10320
Keila,Hjelmsoya,Hjelmsøya,74.35559,19.11467
Kirkjubøholmur,Faroe Islands,Føroyar,66.58500,12.22900
Kjorten,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Kongsfjorden,Kongsfjorden,Kongsfjorden,69.63505,18.84826
Krægan,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Krykkjedamdalen,Bear Island,Bjørnøya,69.06500,15.17000
Krykkjefjellet,Kongsfjorden,Kongsfjorden,69.63505,18.84826
Laksmannen,Hjelmsoya,Hjelmsøya,74.35559,19.11467
Lamba grotbrot,Faroe Islands,Føroyar,66.58500,12.22900
Landey,Breidafjordur,Breiðafjörður,78.36400,16.14100
Lauholmen,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Leiholmen ,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Lemmingsvær,Lemmingsvaer,Lemmingsvær,71.11291,24.73238
Leynavatni,Faroe Islands,Føroyar,66.58500,12.22900
Likkudalur,Faroe Islands,Føroyar,66.58500,12.22900
Lille Einerholmen,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Lille Feitnakken,Bear Island,Bjørnøya,69.06500,15.17000
Lille Kamøya,Hjelmsoya,Hjelmsøya,74.35559,19.11467
Litsky Maly Island,Seven Islands,Sem' Ostrovov,78.89700,12.19300
Lonin,Faroe Islands,Føroyar,66.58500,12.22900
Lyngøya,Hordaland,Hordaland,74.34703,19.09058
Mandalselva Kastellet,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Matmorstua,Loppa,Loppa,71.10927,24.74736
Mellom Lille Feitnakken og Feitnakken,Bear Island,Bjørnøya,69.06500,15.17000
Melrakkaey,Melrakkaey,Melrakkaey,78.17400,15.12900
Merra,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Migade,Bear Island,Bjørnøya,69.06500,15.17000
Migande N,Bear Island,Bjørnøya,69.06500,15.17000
Mittinga,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Nordre Krægan,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
NW Sennaya island ,Solovetsky archipelago,Solovetskiye Ostrova,70.35833,21.39833
Olavskjær,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Ossian Sars,Kongsfjorden,Kongsfjorden,69.63505,18.84826
Østre Gunningsholme,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Ostrov Bolshoy Zelenets,Seven Islands,Sem' Ostrovov,78.89700,12.19300
Papey,Papey,Papey,67.42700,11.88400
Parusnyi island ,Solovetsky archipelago,Solovetskiye Ostrova,70.35833,21.39833
Revdalen,Bear Island,Bjørnøya,69.06500,15.17000
Rif,Breidafjordur,Breiðafjörður,78.36400,16.14100
Rubini,Franz Josef Land,Zemlya Frantsa-Iosifa,64.74000,10.77000
Runde,Runde and Aalesund,Runde and Ålesund,62.47111,6.12861
Russehamna,Bear Island,Bjørnøya,69.06500,15.17000
Sakhanina Cape,Cape Sakhanin,Mys Sakhanina,69.03100,16.90500
Saltvik,Langanes and Skjalfandi,Langanes and Skjálfandi,70.92056,-8.71778
Sandavagur litla grotbroti,Faroe Islands,Føroyar,66.58500,12.22900
Sandavagur stora grotbroti,Faroe Islands,Føroyar,66.58500,12.22900
Sandavagur timburhandilin,Faroe Islands,Føroyar,66.58500,12.22900
Sånumstranda,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Selvær,Selvaer,Selvær,74.34806,19.09142
Sennaya island ,Solovetsky archipelago,Solovetskiye Ostrova,70.35833,21.39833
Sklinna,Sklinna,Sklinna,74.50250,18.95556
Skoruvikurbjarg,Langanes and Skjalfandi,Langanes and Skjálfandi,70.92056,-8.71778
Skugvoy,Faroe Islands,Føroyar,66.58500,12.22900
Småholmane,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Småskjæran,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Sør-Gjæslingan,Sklinna,Sklinna,74.50250,18.95556
Stakksey,Breidafjordur,Breiðafjörður,78.36400,16.14100
Steinsvågen,Runde and Aalesund,Runde and Ålesund,62.47111,6.12861
Stora Dimun,Faroe Islands,Føroyar,66.58500,12.22900
Store Torungen,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Store Vengelsholmen,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Storøy,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Storøytåa,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Storskjær,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Sundi,Faroe Islands,Føroyar,66.58500,12.22900
Svarthellaren,Loppa,Loppa,71.10927,24.74736
Sydrugøtu grotbrot,Faroe Islands,Føroyar,66.58500,12.22900
Sydrugøtu waterfront,Faroe Islands,Føroyar,66.58500,12.22900
Tikhaya Bay,Franz Josef Land,Zemlya Frantsa-Iosifa,64.74000,10.77000
Veshnyak Island,Seven Islands,Sem' Ostrovov,78.89700,12.19300
Vestmanna,Faroe Islands,Føroyar,66.58500,12.22900
Vestre Røysa,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
testlocation,testcolony,testcolonü,58.00528,7.44306













































































